/* DATA DESCRIPTION:,
Citation:,"Lamy, Frank; Kilian, Rolf; Arz, Helge Wolfgang; Francois, Jean-Pierre; Kaiser, Jérôme; Prange, Matthias; Steinke, Tatjana (2010): (Figure 2h) Pollen percentage of hygrophytic taxa of core GC2. PANGAEA, https://doi.org/10.1594/PANGAEA.760034, "
,"In supplement to: Lamy, F et al. (2010): Holocene changes in the position and intensity of the southern westerly wind belt. Nature Geoscience, 3(10), 695-699, https://doi.org/10.1038/ngeo959"
Related to:,"Fesq-Martin, Martinus; Friedmann, Arne; Peters, Michael; Behrmann, Jan-Hinrich; Kilian, Rolf (2004): Late-glacial and Holocene vegetation history of the Magellanic rain forest in southwestern Patagonia, Chile. Vegetation History and Archaeobotany, 13(4), 249-255, https://doi.org/10.1007/s00334-004-0047-6"
Project(s):,Paleoenvironmental Reconstructions from Marine Sediments @ AWI (AWI_Paleo) (URI: http://www.awi.de/en/science/geosciences/marine-geology.html)
Coverage:,LATITUDE: -52.810300 * LONGITUDE: -72.929500
Event(s):,GC2 * LATITUDE: -52.810300 * LONGITUDE: -72.929500 * LOCATION: South Pacific Ocean * METHOD/DEVICE: Wadenaar Corer (WADC) * COMMENT: peat bog
Parameter(s):,AGE [ka BP] (Age) * GEOCODE
,"Hygrophytes [%] (Hygroph) * PI: Fesq-Martin, Martinus * METHOD/DEVICE: Counting, palynology"
License:,Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:,116 data points
*/,
Age [ka BP],Hygroph [%]
0.03839,44.44444
0.21516,42.57885
0.39194,38.12616
0.56871,37.6673
0.74548,31.98789
0.92226,31.37803
1.09903,24.73373
1.27581,16.97417
1.45258,13.49862
1.62935,8.17175
1.80613,11.45686
1.9829,11.66407
2.15968,25.52356
2.33645,15.22388
2.51323,7.86164
2.69,11.1437
2.838,9.43152
2.986,15.70397
3.134,24.73834
3.282,22.68994
3.43,18.25243
4.23811,22.00247
4.34432,21.94543
4.45053,26.57614
4.55674,29.8583
4.66295,27.44405
4.76917,25.38922
4.87538,29.27374
4.98159,22.11765
5.0878,24.88938
5.19402,27.84091
5.30023,29.35484
5.40644,27.44237
5.51265,33.61793
5.61886,23.50792
5.72508,20.31824
5.83129,21.24413
5.9375,25.72464
6.04371,30.41575
6.14992,35.8794
6.25614,19.92136
6.36235,15.63307
6.46856,23.28767
6.57477,24.48513
6.68098,41.93548
6.7872,38.98156
6.89341,39.85573
6.99962,39.08918
7.10583,30.09709
7.21205,49.4894
7.31826,66.57922
7.42447,65.01687
7.53068,41.80095
7.63689,31.26386
7.71176,30.74324
7.75529,23.27586
7.79882,22.92191
7.84235,25.459
7.88588,26.57602
7.92941,25.84693
7.97294,38.34197
8.01647,17.65537
8.06,20.93863
8.12,64.52164
8.18,72.51012
8.24,59.66816
8.3,72.8692
8.36,78.01858
8.42667,59.85564
8.5,52.68265
8.57333,62.99639
8.708,73.28362
8.904,72.39597
9.1,62.10526
9.296,50.25868
9.492,58.34192
9.688,52.65604
9.884,34.97487
10.08,52.02057
10.14692,59.20819
10.21385,47.53123
10.28077,74.81271
10.34769,64.13625
10.41462,69.65766
10.48154,85.00672
10.54846,90.26573
10.61538,85.23325
10.68231,89.33115
10.74923,85.28639
10.81615,70.65716
10.88308,66.51376
10.95,39.08935
11.03,10.54131
11.11,9.64706
11.18514,9.31478
11.26027,8.99042
11.33541,7.05065
11.41054,6.5534
11.48568,5.7047
11.56081,5.55556
11.63595,17.46324
11.71108,13.53811
11.78622,15.92357
11.86135,12.73585
11.93649,10.32967
12.01162,10.81081
12.08676,14.93776
12.16189,6.16246
12.23703,8.79121
12.31216,8.33333
12.3873,6.3772
12.46243,10.30369
12.53757,7.2407
12.6127,6.17849
12.68784,3.7296
12.76297,3.93996
